employee_id,first_name,last_name,gender,province,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-95822412,Floortje,Heere,Female,Noord-Holland,Alkmaar,2016-01-10,Operations,Logistics Coordinator,Bachelor,63656,Satisfactory,Yes,1989-04-05,2016-07-08
00-42868828,Mart,Pieters,Female,Zuid-Holland,Leiden,2017-03-23,Marketing,SEO Specialist,High School,84825,Satisfactory,No,1972-04-23,2019-04-01
00-83197857,Kyra,Goyaerts van Waderle,Male,Noord-Holland,Amsterdam,2016-09-03,IT,IT Support Specialist,Bachelor,61889,Satisfactory,Yes,2000-08-06,2019-12-28
00-13999315,Puck,van der Spaendonc,Female,Drenthe,Assen,2016-02-01,Operations,Inventory Specialist,High School,66032,Excellent,Yes,1970-03-09,2020-05-11
00-90801586,Sven,Bos,Male,Zuid-Holland,Rotterdam,2015-01-11,Operations,Inventory Specialist,Bachelor,69686,Good,Yes,1989-05-23,2022-01-16
00-97226012,Kay,Osterhoudt,Female,Groningen,Groningen,2022-07-03,Customer Service,Support Specialist,Bachelor,64385,Satisfactory,No,1998-07-05,2022-12-30
00-70291817,Ayoub,Manne,Female,Zuid-Holland,Rotterdam,2020-09-18,Operations,Inventory Specialist,High School,60170,Satisfactory,Yes,1975-04-24,2023-02-22
00-31429110,Jinthe,van der Spaendonc,Male,Zuid-Holland,Den Haag,2022-06-02,Operations,Logistics Coordinator,Bachelor,76444,Satisfactory,No,1967-04-08,2022-11-29
00-30868105,Tobias,Schilt,Male,Noord-Holland,Haarlem,2017-10-22,Customer Service,Help Desk Technician,High School,91046,Satisfactory,Yes,1980-02-12,2021-03-14
00-22448136,Aiden,Klomp Jan,Male,Zuid-Holland,Den Haag,2018-09-12,Customer Service,Customer Service Representative,High School,64780,Good,No,1996-09-04,2019-03-11
00-56164955,Olivier,Schilt,Male,Zuid-Holland,Den Haag,2021-02-26,Operations,Operations Analyst,Master,87540,Satisfactory,No,1983-07-26,2024-07-03
00-71662963,Veerle,Verwoert,Female,Utrecht,Utrecht,2020-02-07,Customer Service,Help Desk Technician,Bachelor,64140,Good,Yes,1971-08-31,2022-09-22
00-84093639,Ruben,Gerritsen,Male,Noord-Holland,Alkmaar,2017-05-11,Operations,Inventory Specialist,Bachelor,60326,Good,No,1978-11-27,2022-04-28
00-58537831,Owen,Rotteveel,Female,Zuid-Holland,Leiden,2020-10-21,Operations,Inventory Specialist,High School,58548,Excellent,No,1962-09-09,2021-04-19
00-16150444,Kayleigh,van Laar,Male,Noord-Holland,Alkmaar,2022-07-15,Operations,Operations Manager,Master,75599,Good,No,2003-11-18,2023-01-11
00-41244663,Zara,de Groot,Female,Zuid-Holland,Den Haag,2023-01-29,Finance,Financial Analyst,PhD,81212,Satisfactory,Yes,1961-02-06,2023-07-28
00-70855700,Mehmet,Wolzak,Male,Zuid-Holland,Leiden,2021-07-30,Finance,Accountant,Bachelor,61638,Good,No,2000-11-16,2022-01-26
00-59684848,Johanna,Dorsman,Male,Noord-Holland,Alkmaar,2018-01-17,Finance,Accountant,Bachelor,74956,Satisfactory,No,1988-08-20,2023-08-10
00-96977837,Koen,Slaetsdochter,Male,Noord-Holland,Haarlem,2016-12-25,Operations,Inventory Specialist,High School,55031,Good,No,1987-01-01,2018-04-16
00-81691040,Naomi,Osterhoudt,Female,Zuid-Holland,Den Haag,2022-11-12,Operations,Logistics Coordinator,Bachelor,61654,Satisfactory,No,1983-12-15,2023-05-11
00-60929647,Ruben,Schilt,Male,Noord-Holland,Amsterdam,2017-06-15,IT,IT Support Specialist,Bachelor,63012,Excellent,No,1979-06-21,2021-05-30
00-84752529,Mette,Wunderink,Female,Noord-Brabant,Tilburg,2017-03-01,Operations,Logistics Coordinator,Bachelor,60249,Good,No,1997-07-26,2024-07-21
00-17507864,Quinn,Mercks,Male,Zuid-Holland,Leiden,2017-09-01,Sales,Sales Consultant,Bachelor,92685,Excellent,Yes,1977-05-07,2018-02-28
00-52339391,Jinthe,Driessen,Female,Zuid-Holland,Den Haag,2019-08-10,Customer Service,Customer Service Representative,Bachelor,60936,Good,Yes,1999-05-21,2023-05-24
00-86125617,Jens,van der Laan,Male,Noord-Brabant,Tilburg,2023-09-23,Operations,Logistics Coordinator,Bachelor,69040,Good,Yes,1984-05-19,2024-03-21
00-97971488,Jayden,van Leuven,Male,Zuid-Holland,Den Haag,2020-05-18,Sales,Sales Manager,PhD,76589,Good,No,1978-11-10,2022-08-07
00-29175900,Sienna,Mosley,Female,Noord-Holland,Alkmaar,2017-09-07,Marketing,SEO Specialist,Bachelor,79158,Excellent,No,2002-01-14,2022-05-17
00-85345555,Milou,Coolen,Female,Zuid-Holland,Leiden,2020-03-24,Customer Service,Customer Service Representative,High School,54925,Good,No,1998-10-07,2020-09-20
00-67503414,Bastiaan,Totwiller,Female,Zuid-Holland,Den Haag,2023-05-27,Marketing,Content Creator,Bachelor,64352,Satisfactory,Yes,1992-06-18,2023-11-23
00-39436733,Chris,Meyer,Female,Zuid-Holland,Den Haag,2024-11-29,Operations,Logistics Coordinator,Bachelor,62069,Good,No,1985-09-15,2025-05-28
00-76238574,Dina,Tins,Female,Zuid-Holland,Leiden,2016-03-18,Customer Service,Support Specialist,Bachelor,59604,Good,No,1960-12-30,2018-01-20
00-24716857,Alyssa,de Ruiter,Female,Noord-Holland,Haarlem,2017-11-19,HR,HR Coordinator,Master,62967,Excellent,No,1991-02-21,2022-05-07
00-66661351,Féline,van Kusen,Female,Noord-Holland,Alkmaar,2020-02-22,Customer Service,Help Desk Technician,High School,62693,Excellent,No,1966-03-23,2022-04-22
00-89978790,Imran,Ponci,Male,Noord-Holland,Amsterdam,2024-09-28,Sales,Sales Representative,Bachelor,67225,Satisfactory,No,1996-08-02,2025-03-27
00-84252722,Bo,Room,Male,Zuid-Holland,Leiden,2023-09-29,Sales,Sales Consultant,Master,65535,Good,No,1974-11-15,2024-03-27
00-25374874,Thijn,de Vroege,Male,Zuid-Holland,Rotterdam,2022-05-12,Operations,Inventory Specialist,High School,55466,Good,No,1982-06-22,2022-11-08
00-45812670,Ibrahim,van de Veen,Male,Noord-Holland,Haarlem,2022-06-29,Sales,Sales Representative,Bachelor,76357,Good,No,1991-11-15,2022-12-26
00-49392920,Lily,Brumleve,Female,Noord-Holland,Alkmaar,2019-11-10,Marketing,Marketing Coordinator,Bachelor,61789,Good,No,1980-11-01,2024-11-13
00-45351479,Jan,Kloppert,Male,Zuid-Holland,Den Haag,2024-10-16,IT,Software Developer,Bachelor,83891,Good,No,1994-08-10,2025-04-14
00-24282218,Sven,Demmendaal,Female,Zuid-Holland,Rotterdam,2023-05-21,IT,Software Developer,Bachelor,77823,Good,No,1998-08-12,2023-11-17
00-95758349,Esila,van Mare,Male,Drenthe,Assen,2020-07-12,Operations,Operations Analyst,Master,81234,Satisfactory,Yes,2002-02-05,2021-01-08
00-60185867,Yinthe,Backer,Male,Noord-Holland,Amsterdam,2022-09-05,Operations,Operations Analyst,Master,57694,Excellent,No,1979-07-05,2023-03-04
00-81182864,Florian,van der Linden,Male,Zuid-Holland,Rotterdam,2024-10-01,IT,Software Developer,Bachelor,96350,Good,No,1974-04-14,2025-03-30
00-75579548,Lise,Voortman,Male,Zuid-Holland,Den Haag,2015-02-10,Customer Service,Help Desk Technician,High School,80468,Satisfactory,No,1994-03-05,2017-03-17
00-51273847,Thomas,Klein,Male,Groningen,Groningen,2017-06-15,Operations,Logistics Coordinator,Bachelor,64784,Good,Yes,1981-06-14,2018-01-28
00-20570592,Vajèn,Roose,Female,Noord-Holland,Alkmaar,2016-12-20,Sales,Sales Consultant,Bachelor,62912,Satisfactory,No,2004-05-12,2021-12-29
00-19289546,Linn,Lagerweij,Female,Gelderland,Arnhem,2024-07-04,Customer Service,Customer Service Representative,Bachelor,64048,Good,No,1983-07-20,2024-12-31
00-26879290,Fabian,Spruyt,Male,Utrecht,Utrecht,2016-11-03,Marketing,Content Creator,Bachelor,63978,Needs Improvement,No,2004-01-24,2021-05-26
00-32162965,Amira,Manne,Male,Groningen,Groningen,2017-02-25,Sales,Sales Consultant,Master,88801,Satisfactory,No,1996-04-01,2021-02-05
00-38427073,Linn,Koeman,Female,Utrecht,Amersfoort,2024-07-15,Customer Service,Help Desk Technician,Bachelor,69797,Satisfactory,Yes,1978-05-01,2025-01-11
00-36998038,Lize,van der Hoeven,Male,Zuid-Holland,Den Haag,2022-12-01,IT,System Administrator,Master,87846,Good,No,1986-11-14,2023-05-30
00-97225156,Esmee,Vegt,Female,Noord-Brabant,Tilburg,2018-06-27,Customer Service,Customer Service Representative,Bachelor,57406,Good,No,1975-09-18,2022-01-11
00-26240908,Finn,Wouters,Female,Overijssel,Zwolle,2017-11-16,Operations,Inventory Specialist,Bachelor,64004,Good,No,1980-08-27,2020-04-01
00-12823170,Merel,Takkelenburg,Male,Noord-Holland,Alkmaar,2020-03-28,Operations,Inventory Specialist,High School,57237,Satisfactory,No,2001-06-28,2020-09-24
00-39557077,Levi,Engels,Female,Noord-Holland,Alkmaar,2015-02-01,HR,Recruiter,High School,62717,Good,No,1962-04-09,2021-09-08
00-17901903,Youssef,Doornhem,Female,Utrecht,Amersfoort,2017-12-22,Sales,Sales Manager,Master,120183,Satisfactory,Yes,1979-11-24,2021-08-12
